latitude,longitude,city
54.49091,-3.59186,St Bees
54.54324,-3.57689,Whitehaven
54.9076,-2.93904,Carlisle
54.84636,-2.83326,Wetheral
54.85485,-3.0157,Orton
54.99423,-2.8926,Kirklinton
54.80696,-3.23702,Waverton
54.93895,-2.68531,Brampton
54.80176,-2.4185,Alston
54.31433,-2.49348,Sedbergh
54.20034,-2.92446,Grange-over-Sands
54.20351,-3.08246,Ulverston
54.1185,-3.2302,Dalton-in-Furness
54.15588,-3.1777,Dalton Town with Newton
54.1862,-3.20155,Ireleth
54.2386,-3.17545,Kirkby Ireleth
54.21512,-3.27448,Millom
54.29312,-3.37523,Bootle
54.29404,-3.20469,Broughton West
54.3645,-3.07283,Coniston
54.42276,-2.98649,Lakes
54.37122,-2.91136,Windermere
54.22568,-2.77162,Milnthorpe
54.32563,-2.74273,Kendal
54.5286,-1.6013,Halnaby Ave
52.90852,-1.54049,Mickleover
52.77372,-1.55377,Swadlincote
52.72516,-1.55279,Overseal
53.12707,-1.56357,Matlock Bath
53.21464,-1.6765,Bakewell
53.10104,-1.37114,Alfreton
53.02152,-1.47369,Belper
52.99358,-1.7169,Osmaston
52.86651,-1.60927,Hilton
52.8933,-1.35929,Draycott
52.84694,-1.43571,Swarkestone
53.01284,-1.35305,Heanor
52.90005,-1.28187,Ilkeston
53.29931,-1.47178,Dronfield
53.31213,-1.33802,Eckington
53.29454,-1.63839,Grindleford
53.3415,-1.72061,Aston
53.24696,-1.42746,Chesterfield
53.20019,-1.42209,Wingerworth
53.2672,-1.34172,Staveley
53.22478,-1.31241,Bolsover
53.16602,-1.42106,Clay Cross
53.4479,-1.96386,Glossop
53.24378,-1.87861,King Sterndale
53.3724,-1.98497,New Mills
53.32744,-1.94895,Chapel-en-le-Frith
50.69252,-3.24461,Sidmouth
50.74603,-3.28714,Ottery St Mary
50.70585,-3.08066,Seaton
50.78655,-3.00733,Axminster
50.81272,-3.1896,Honiton
50.87675,-3.33907,Kentisbeare
50.92258,-3.49122,Tiverton
50.81176,-3.70205,Sandford
50.90155,-3.88739,Chawleigh
50.87712,-4.0044,Dowland
50.75004,-4.01882,Okehampton Hamlets
50.80507,-4.20857,Black Torrington
50.82804,-4.3673,Holsworthy Hamlets
50.73816,-3.08849,Colyton
51.07115,-4.01849,Barnstaple
51.11343,-4.16894,Braunton
51.19829,-4.10278,Ilfracombe
51.2236,-3.82749,Lynton
51.01638,-3.79224,Bishops Nympton
50.97875,-3.95179,High Bickington
50.94376,-4.15107,Little Torrington
51.01394,-4.24557,Abbotsham
50.73055,-3.52621,Exeter
50.75684,-3.43916,Broad Clyst
50.67744,-3.59668,Doddiscombsleigh
50.59183,-3.47227,Dawlish
50.62958,-3.40133,Exmouth
50.6386,-3.32239,Budleigh Salterton
50.64562,-4.26757,Lifton
50.55602,-4.15454,Tavistock
50.50125,-4.09986,Horrabridge
50.38566,-3.91748,Ivybridge
50.33548,-4.01243,Yealmpton
50.42412,-3.81906,South Brent
50.48137,-3.78179,Buckfast
50.52882,-3.61142,Newton Abbot
50.59296,-3.71817,Bovey Tracey
50.55002,-3.50626,Teignmouth
50.34655,-3.58837,Dartmouth
50.28256,-3.78278,Kingsbridge
50.23686,-3.77125,Salcombe
50.41619,-3.68924,Totnes
53.45158,-1.08284,Tickhill
53.48313,-1.22082,Conisbrough
53.54578,-1.05817,Edenthorpe
53.53763,-1.17153,Brodsworth
53.5961,-1.17643,Owston
53.61415,-0.95535,Thorne
50.73783,-2.04394,Upton
50.61102,-1.9689,Swanage
50.68648,-2.14582,Wareham
50.81248,-1.97303,Colehill
50.80524,-1.88787,Ferndown
50.87537,-1.87207,Verwood
50.71093,-2.44052,Dorchester
50.93702,-2.33306,Sturminster Newton
50.86091,-2.18047,Bryanston
50.74955,-2.45365,Charminster
50.60921,-2.4636,Weymouth
50.54724,-2.44041,Portland
50.73886,-2.77528,Allington
50.7286,-2.94657,Lyme Regis
50.81632,-2.7581,Beaminster
50.94086,-2.51529,Castleton
51.0039,-2.18245,Shaftesbury
52.45177,-2.06622,Hurst Green
53.70747,-0.93638,Airmyn
53.82572,-0.21921,Ellerby
53.72369,-0.13105,Burstwick
53.72446,-0.43572,Hessle
53.72799,-0.50078,North Ferriby
53.74831,-0.62139,Ellerker
53.8466,-0.42661,Cottingham
53.90944,-0.16692,Hornsea
53.72277,0.03566,Withernsea
53.78836,-0.51229,Rowley
54.09514,-0.20004,Bridlington
54.00465,-0.41302,Driffield
53.96966,-0.90227,Catton
53.92274,-0.7908,Barmby Moor
53.84976,-0.68952,Market Weighton
50.7953,0.00232,Peacehaven
50.79764,0.31325,Eastbourne
50.81618,0.3312,Westham
50.77633,0.10932,Seaford
50.82098,0.22352,Long Man
50.87146,0.2643,Hailsham
50.87719,0.00014,Lewes
50.91318,0.05148,Ringmer
50.79536,0.05058,Newhaven
51.09702,0.03104,Forest Row
51.00262,0.40754,Burwash
51.02633,0.25615,Mayfield
50.95871,0.26427,Heathfield
50.98067,0.10005,Uckfield
50.96233,0.68748,Peasmarsh
50.9793,0.4904,Salehurst
50.91032,0.47676,Battle
50.92061,0.70216,Icklesham
50.86297,0.54531,Hastings
50.84449,0.48463,Bexhill
51.06471,0.36223,Wadhurst
51.05216,0.17464,Crowborough
51.09204,0.10938,Hartfield
52.02989,0.26551,Saffron Walden
51.66221,0.83719,Southminster
51.74454,0.45694,Chelmsford
51.62757,0.41593,Billericay
51.64328,0.30545,Brentwood
51.69981,0.12161,Epping
51.72141,0.48754,Great Baddow
51.77476,0.10483,Harlow
51.86164,0.22218,Great Hallingbury
51.8988,0.20657,Stansted Mountfitchet
51.71932,0.58445,Danbury
51.67392,0.39235,Ingatestone
51.72083,0.24857,Ongar
51.8768,0.36678,Great Dunmow
51.89752,0.53797,Braintree
51.80536,0.6387,Witham
51.74097,0.70159,Heybridge
51.94126,1.0789,Mistley
51.93115,1.25427,Harwich
51.84979,1.26873,Frinton and Walton
51.7962,1.15605,Clacton-on-Sea
51.82039,1.1258,Little Clacton
51.90654,0.92383,Colchester
51.81459,0.82209,Layer Breton
51.92419,0.78968,Fordham
51.8838,1.0052,Elmstead
51.97328,0.76797,Bures Hamlet
51.96878,0.61043,Sible Hedingham
51.69451,0.01427,Waltham Abbey
51.62391,0.04004,Loughton
51.63255,0.16038,Stapleford Abbotts
51.60556,0.52164,Wickford
51.56201,0.4543,Basildon
51.59406,0.71452,Rochford
51.60722,0.6503,Hockley
51.58746,0.60872,Rayleigh
51.5222,0.59057,Canvey Island
53.16823,-2.93803,Saltney
53.20424,-3.04064,Shotton
53.25003,-3.14518,Flint
53.16924,-3.13256,Mold
53.28144,-3.24053,Holywell
54.9324,-1.69096,Wickham and Dunston
54.96584,-1.77193,Blaydon
51.7429,-2.28391,Stonehouse
51.68875,-2.35591,Dursley
51.69289,-2.45867,Berkeley
51.81691,-2.47879,Littledean
51.73656,-2.55036,Lydney
51.79561,-2.61054,Coleford
51.85542,-2.51405,Drybrook
51.94124,-2.41464,Oxenhall
51.94252,-2.28662,Ashleworth
52.00304,-2.12966,Ashchurch
51.86451,-2.17719,Hucclecote
51.84196,-2.2163,Gloucester
51.73855,-2.2187,Rodborough
51.91588,-2.05816,Prestbury
51.88081,-2.06684,Cheltenham
51.89693,-1.86338,Naunton
52.06043,-1.76806,Chipping Campden
51.98836,-1.70435,Moreton-in-Marsh
51.735,-2.19117,Thrupp
51.71263,-1.89723,Ampney St Mary
51.64151,-2.17054,Tetbury
51.45484,0.14046,Bexley
51.47574,0.17745,Crayford
51.52789,-0.02482,Poplar
51.62196,-0.00339,Walthamstow
51.5256,0.05583,East Ham
51.54678,0.02793,Stratford
51.60965,-0.30727,Harrow
51.60694,0.0335,Ilford
51.36405,-0.30197,Kingston Upon Thames
51.57052,-0.1009,Hackney
51.55277,-0.11607,Islington
51.58335,-0.11625,Tottenham
51.62825,-0.05659,Enfield
51.61488,-0.23484,Barnet
51.5864,-0.25472,Brent
51.5748,0.17063,Romford
51.54036,0.13582,Barking
51.41151,-0.05716,Bromley
